FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
83.37905203,220.2251186,24.156,185,1,Summer,FR1
83.4262236,221.2260863,35.424,181,1,Summer,FR1
83.47341074,222.3695453,30.564,211,1,Summer,FR1
88.23997371,224.7708508,40.248,89,3,Summer,FR1
92.12663639,228.132912,30.564,131,3,Summer,FR1
89.216771,230.2024625,28.98,172,2,Summer,FR1
87.89263255,232.0330333,35.424,360,2,Summer,FR1
88.68262666,234.5383457,30.564,301,2,Summer,FR1
86.74773539,236.0040153,54.72,347,4,Summer,FR1
88.02396427,238.0125198,38.628,358,3,Summer,FR1
88.86944221,240.4305055,46.656,316,4,Summer,FR1
83.03386839,157.8352138,28.98,1,1,Summer,FR1
85.36700609,159.7753623,33.804,129,1,Summer,FR1
88.59120625,162.6722625,24.156,167,1,Summer,FR1
83.23084231,163.4396518,41.832,339,1,Summer,FR1
85.22992516,165.0183829,59.544,338,4,Summer,FR1
87.27656961,167.0229088,32.184,308,1,Summer,FR1
88.03005895,169.1954691,46.656,28,4,Summer,FR1
90.57805468,172.0260325,24.156,146,1,Summer,FR1
85.78971373,173.2413124,30.564,248,1,Summer,FR1
85.64988931,174.6215185,54.72,324,4,Summer,FR1
90.02171138,177.3282211,37.008,24,3,Summer,FR1
88.61356014,179.143302,30.564,350,1,Summer,FR1
87.11504812,180.4519794,46.656,4,3,Summer,FR1
87.95745367,182.3611431,41.832,8,3,Summer,FR1
88.0061368,184.0736274,51.516,1,4,Summer,FR1
87.48455205,185.6511775,49.896,320,4,Summer,FR1
87.93786374,187.5637197,57.924,310,5,Summer,FR1
89.78569106,188.9529204,48.276,6,4,Summer,FR1
91.27188025,190.8461397,27.36,136,2,Summer,FR1
90.00765641,192.5902508,30.564,2,2,Summer,FR1
89.2606115,194.4587045,38.628,15,3,Summer,FR1
89.30972487,196.6046674,40.248,15,3,Summer,FR1
90.41235645,199.0573923,43.452,342,4,Summer,FR1
92.11169816,201.4102994,41.832,353,4,Summer,FR1
89.7731632,202.610229,38.628,37,3,Summer,FR1
87.5715775,203.4880774,38.628,9,2,Summer,FR1
88.43610026,205.0310853,49.896,341,4,Summer,FR1
86.91672209,205.7316837,69.192,340,5,Summer,FR1
89.24116823,206.7231076,64.368,328,5,Summer,FR1
90.58855444,208.7573143,45.072,309,4,Summer,FR1
92.65323749,211.336971,61.164,345,5,Summer,FR1
88.48557994,211.7517915,51.516,29,4,Summer,FR1
88.23066809,212.096616,22.536,61,1,Summer,FR1
88.67599704,213.5111259,22.536,119,1,Summer,FR1
89.31543171,215.3078591,25.74,41,1,Summer,FR1
94.44934364,218.1677948,37.008,30,4,Summer,FR1
94.05809914,220.5918537,37.008,33,4,Summer,FR1
88.25205804,221.450352,40.248,297,3,Summer,FR1
88.70386675,223.0932199,37.008,27,3,Summer,FR1
90.62354177,225.1203539,28.98,10,2,Summer,FR1
90.95108514,226.8963861,53.1,343,5,Summer,FR1
88.32872508,227.6084756,25.74,139,1,Summer,FR1
87.29882887,228.3668302,40.248,359,3,Summer,FR1
88.00070551,229.2785528,30.564,133,1,Summer,FR1
90.01805524,230.4820306,37.008,33,3,Summer,FR1
